"","X","Item_ID","Sentence","ModalPresent","Finite","QuestionType","DegreeQ","SubjectAuxInv","WhAll","QuantifiedSubject","QuantifiedPredicate","Wh","MatVerb","MatVerbPart","Modal","Verb1","Verb2","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","WhNode","WhParse","Question","SentenceParse","WhPhaseType"
"1",1,"129060:7","and whenever i remembered the weather reports in utah *t*-1, i never really remember them talking too much about wind chill.","no","yes","subject","no","",NA,"","","whenever","","",NA,"remembered","","","the","",NA,"(WRB whenever)","whenever i remembered the weather reports in utah *t*-1","(TOP (S (CC And) (SBAR-TMP (WHADVP-1 (WRB whenever)) (S (NP-SBJ (PRP I)) (VP (VBD remembered) (NP (NP (DT the) (NN weather) (NNS reports)) (PP-LOC (IN in) (NP (NNP Utah)))) (ADVP-TMP (-NONE- *T*-1))))) (, ,) (NP-SBJ (PRP I)) (ADVP-TMP (RB never)) (ADVP (RB really)) (VP (VB remember) (S (NP-SBJ (PRP them)) (VP (VBG talking) (ADVP (RB too) (RB much)) (PP (IN about) (NP (NN wind) (NN chill)))))) (. .) (-DFL- E_S)))","monomorphemic"
"2",2,"16834:16","what, what do you do *t*-1?","no","yes","root","no","yes",NA,"","","what","","",NA,"do","","","","",NA,"(WP what)","what, what do you do *t*-1?","(TOP (SBARQ (EDITED (RM (-DFL- \[)) (WHNP (WP What)) (, ,) (IP (-DFL- \+))) (WHNP-1 (WP what)) (RS (-DFL- \])) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB do) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic"
"3",3,"176978:5","when i drive through that area *t*-1, that's all 0 i see *t*-2 is pressure treated, pressure treated lumber yards.","no","yes","subject","no","",NA,"","","","","",NA,"drive","","that","that","",NA,"(WRB When)","when i drive through that area *t*-1","(TOP (S (SBAR-TMP (WHADVP-1 (WRB When)) (S (NP-SBJ (PRP I)) (VP (VBP drive) (PP-DIR (IN through) (NP (DT that) (NN area))) (ADVP-TMP (-NONE- *T*-1))))) (, ,) (S-SBJ (NP-SBJ (DT that)) (VP (BES 's) (NP-PRD (NP (DT all)) (SBAR (WHNP-2 (-NONE- 0)) (S (NP-SBJ (PRP I)) (VP (VBP see) (NP (-NONE- *T*-2)))))))) (VP (VBZ is) (EDITED (RM (-DFL- \[)) (NP-PRD-UNF (ADJP (NN pressure) (JJ treated))) (, ,) (IP (-DFL- \+))) (NP-PRD (ADJP (NN pressure) (JJ treated)) (NN lumber) (NNS yards))) (. .) (RS (-DFL- \])) (-DFL- E_S)))","monomorphemic"
"4",4,"132813:10","well, what else do you serve *t*-1 with your pig?","no","yes","root","no","yes",NA,"","","what","","",NA,"do","","","","",NA,"(WP what)","well, what else do you serve *t*-1 with your pig?","(TOP (SBARQ (INTJ (UH Well)) (, ,) (WHNP-1 (WHNP (WP what)) (ADVP (RB else))) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB serve) (NP (-NONE- *T*-1)) (PP (IN with) (NP (PRP$ your) (NN pig))))) (. ?) (-DFL- E_S)))","monomorphemic"
"5",5,"38848:19","you get so involved in what you're reading *t*-1.","no","yes","nominalized","no","",NA,"","","what","","involved",NA,"'re","","","","",NA,"(WP what)","what you're reading *t*-1","(TOP (S (NP-SBJ (PRP You)) (VP (VBP get) (ADJP-PRD (RB so) (JJ involved) (PP (IN in) (SBAR-NOM (WHNP-1 (WP what)) (S (NP-SBJ (PRP you)) (VP (VBP 're) (VP (VBG reading) (NP (-NONE- *T*-1))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"6",6,"111176:7","and when we get to other parts of the country where the trees are so beautiful *t*-1 *t*-2, we really miss it.","no","yes","subject","no","",NA,"","","when","","",NA,"get","","the","the","",NA,"(WRB when)","when we get to other parts of the country where the trees are so beautiful *t*-1 *t*-2","(TOP (S (CC and) (SBAR-TMP (WHADVP-2 (WRB when)) (S (NP-SBJ (PRP we)) (VP (VBP get) (PP-LOC (IN to) (NP (NP (JJ other) (NNS parts)) (PP (IN of) (NP (DT the) (NN country))) (SBAR (WHADVP-1 (WRB where)) (S (NP-SBJ (DT the) (NNS trees)) (VP (VBP are) (ADJP-PRD (RB so) (JJ beautiful)) (ADVP-LOC (-NONE- *T*-1))))))) (ADVP-TMP (-NONE- *T*-2))))) (, ,) (NP-SBJ (PRP we)) (ADVP (RB really)) (VP (VBP miss) (NP (PRP it))) (. .) (-DFL- E_S)))","monomorphemic"
"7",7,"16019:24","and i have just casually asked her what he did *t*-1 for a living.","no","yes","embedded","no","",NA,"","","what","asked","",NA,"did","","","a","",NA,"(WP what)","what he did *t*-1 for a living","(TOP (S (CC and) (NP-SBJ (PRP I)) (VP (VBP have) (ADVP-MNR (RB just) (RB casually)) (VP (VBN asked) (NP (PRP her)) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP he)) (VP (VBD did) (NP (-NONE- *T*-1)) (PP (IN for) (NP (DT a) (NN living)))))))) (. .) (-DFL- E_S)))","monomorphemic"
"8",8,"144357:21","uh, i don't know how good portland will turn out *-1 to be *t*-2 by the end of the year.","no","yes","embedded","yes","",NA,"","","how","know","",NA,"turn","","","the","how good",NA,"(WRB how)","how good portland will turn out *-1 to be *t*-2 by the end of the year","(TOP (S (INTJ (UH Uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADJP-2 (WRB how) (JJ good)) (S (NP-SBJ-1 (NNP Portland)) (VP (MD will) (VP (VB turn) (PRT (RP out)) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (ADJP-PRD (-NONE- *T*-2)) (PP-TMP (IN by) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN year)))))))))))))) (. .) (-DFL- E_S)))","complex"
"9",9,"48780:4","which program did you use *t*-1?","no","yes","root","no","yes",NA,"","","","","",NA,"did","","","","which program",NA,"(WDT Which)","which program did you use *t*-1?","(TOP (SBARQ (WHNP-1 (WDT Which) (NN program)) (SQ (VBD did) (NP-SBJ (PRP you)) (VP (VB use) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","complex"
"10",10,"22296:16","i don't know what the answer *ich*-2 is *t*-1 to that problem, you know.","no","yes","embedded","no","",NA,"","","what","know","",NA,"is","","the","what","",NA,"(WDT what)","what the answer *ich*-2 is *t*-1 to that problem","(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WDT what)) (S (NP-SBJ (NP (DT the) (NN answer)) (PP (-NONE- *ICH*-2))) (VP (VBZ is) (NP-PRD (-NONE- *T*-1)) (PP-2 (IN to) (NP (DT that) (NN problem)))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (. .) (-DFL- E_S)))","monomorphemic"
"11",11,"129048:8","so, what's the temperature *t*-1 up today over there?","no","yes","exclamation","no","yes",NA,"","","what","","",NA,"","","the","","",NA,"(WP what)","so, what's the temperature *t*-1 up today over there?","(TOP (SBARQ (RB So) (, ,) (WHNP-1 (WP what)) (SQ (BES 's) (NP-SBJ (DT the) (NN temperature)) (NP-PRD (-NONE- *T*-1)) (EDITED (PP-UNF (IN up))) (NP-TMP (RB today)) (PP-LOC (IN over) (ADVP (RB there)))) (. ?) (-DFL- E_S)))","monomorphemic"
"12",12,"60083:39","i think 0 we had fish sh-, when i was a kid *t*-1","no","yes","embedded","no","",NA,"","","when","had","",NA,"was","","","a","",NA,"(WRB when)","when i was a kid *t*-1","(TOP (S (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (PRP we)) (VP (VBD had) (NP (NN fish)) (EDITED (RM (-DFL- \[)) (X (XX sh-)) (, ,) (IP (-DFL- \+)) (RS (-DFL- \]))) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBD was) (NP-PRD (DT a) (NN kid)) (ADVP-TMP (-NONE- *T*-1))))))))) (-DFL- E_S)))","monomorphemic"
"13",13,"36137:19","and, you know, when i's in graduate school *-1 working on my master's degree in math *t*-2, i was, uh, teaching as part of my, part of the program.","no","yes","subject","no","",NA,"","","when","","",NA,"'s","","","the","",NA,"(WRB when)","when i's in graduate school *-1 working on my master's degree in math *t*-2","(TOP (S (CC and) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR-TMP (WHADVP-2 (WRB when)) (S (NP-SBJ-1 (PRP I)) (VP (VBD 's) (PP-PRD (IN in) (NP (NN graduate) (NN school))) (S-ADV (NP-SBJ (-NONE- *-1)) (VP (VBG working) (PP (IN on) (NP (NP (NP (PRP$ my) (NN master) (POS 's)) (NN degree)) (PP (IN in) (NP (NN math))))))) (ADVP-TMP (-NONE- *T*-2))))) (, ,) (NP-SBJ (PRP I)) (VP (VBD was) (, ,) (INTJ (UH uh)) (, ,) (VP (VBG teaching) (PP (IN as) (EDITED (RM (-DFL- \[)) (NP (NP (NN part)) (PP (IN of) (NP-UNF (PRP$ my)))) (, ,) (IP (-DFL- \+))) (NP (NP (NN part)) (PP (IN of) (NP (DT the) (RS (-DFL- \])) (NN program))))))) (. .) (-DFL- E_S)))","monomorphemic"
"14",14,"60137:12","i forget what type of fish it was *t*-1,","no","yes","embedded","no","",NA,"","","what","forget","",NA,"was","","","what","what type",NA,"(WDT what)","what type of fish it was *t*-1","(TOP (S (NP-SBJ (PRP I)) (VP (VBP forget) (SBAR (WHNP-1 (WHNP (WDT what) (NN type)) (PP (IN of) (NP (NN fish)))) (S (NP-SBJ (PRP it)) (VP (VBD was) (NP-PRD (-NONE- *T*-1)))))) (, ,) (-DFL- E_S)))","complex"
"15",15,"128261:54","your, your average guy jogging down the highway wants *-1 to know how many miles *ich*-3 it is *t*-2 to his destination.","no","yes","embedded","yes","",NA,"","","how","know","",NA,"is","","the","the","how many",NA,"(WRB how)","how many miles *ich*-3 it is *t*-2 to his destination","(TOP (S (EDITED (RM (-DFL- \[)) (NP-SBJ-UNF (PRP$ Your)) (, ,) (IP (-DFL- \+))) (NP-SBJ-1 (NP (PRP$ your) (RS (-DFL- \])) (JJ average) (NN guy)) (VP (VBG jogging) (PP (IN down) (NP (DT the) (NN highway))))) (VP (VBZ wants) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB know) (SBAR (WHNP-2 (WHNP (WHADJP (WRB how) (JJ many)) (NNS miles)) (PP (-NONE- *ICH*-3))) (S (NP-SBJ (PRP it)) (VP (VBZ is) (NP-PRD (-NONE- *T*-2)))) (PP-3 (IN to) (NP (PRP$ his) (NN destination)))))))) (. .) (-DFL- E_S)))","complex"
"16",16,"1601:9","or, what i've done *t*-1 is * found like doctors' and dentists' office with extended hours.","no","yes","subject","no","",NA,"","done","what","","",NA,"'ve","","","","",NA,"(WP what)","what i've done *t*-1","(TOP (S (CC or) (, ,) (SBAR-NOM-SBJ (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN done) (NP (-NONE- *T*-1)))))) (VP (VBZ is) (S-PRD (NP-SBJ (-NONE- *)) (VP (VBN found) (INTJ (UH like)) (NP (NP (NP (NP (NNS doctors) (POS ')) (CC and) (NP (NNS dentists) (POS '))) (NN office)) (PP (IN with) (NP (JJ extended) (NNS hours))))))) (. .) (-DFL- E_S)))","monomorphemic"
