TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	punct
105074:43	and i, i, i know how you can get injured *-1 *-1 doing much more than that *t*-2	### and, and i'll be if he didn't do it again.###this time a little earlier### and, and i had let * go before then and, before they took off this time and, and swatted him away.###so i moved over a, a few feet in the water and got out of his little realm where he was living *t*-1 underneath the dock and, uh, managed *-2 to get up.###* didn't go very far,###but i got up.###and it, it was a nice, uh, nice long skiing career,###but now i've gotten to where skiing is just kind of wears me out more than it does thrill me *t*-1.### i've, i've, uh, done about all 0 i dare *-1 do *t*-2 on skis.###you know, * skiing on one and jumping around here and there	how	yes	how you can get injured *-1 *-1 doing much more than that *t*-2	...what is a way...	...what is every way...	...what is the way...	
36935:78	so, as soon as they get their, their own home country taken care of *-2, then they'll consider, what they can do *t*-1 with the rest of the world.	###speakerb2.###well, they do have, uh, a major internal problem.###everybody wants *-1 to defect,###and i can understand why.###um, i think 0 their biggest problem is just, you know, * obtaining food 0 * to live *t*-1,###so when you have the basic needs, uh, being unmet * *t*-1, i don't think 0 you think globally as far as, you know, * being a threat to other people in the world.###speakera3.###speakerb4.###speakera5.###speakerb6.	what	yes	what they can do *t*-1 with the rest of the world	...what is a thing...	...what is every thing...	...what is the thing...	
38243:42	you can get real high powered stuff now for under two thousand dollars, where, you know, just a few years ago it would have been six, seven, eight, nine thousand dollars *t*-1.	###but they're so expensive.###speakera83.###well, i don't know,###there,###you can get,###well, * depends on what you consider *t*-1 expensive,###i mean,###speakerb84.###uh-huh.###speakera85.	where	yes	where, you know, just a few years ago it would have been six, seven, eight, nine thousand dollars *t*-1	...what is a place...	...what is every place...	...what is the place...	
98858:33	and i, i don't know how a coach *ich*-4 would feel if, that *t*-1 teaches health or eng-, you know, english, or whatever *t*-3 that they had *-2 to wear a tie.	###course, it's a standing joke, you know, when the, when the men come in in a, a tie and a suit coat *t*-1, you say, you know, what, have you got a job interview today###or, there, there's, there's usually, yeah, there's usually something going on that, that, uh, and *t*-1 would, would, uh, cause that to happen###speakerb68.###or you're going *-1 to be observed *-2.###speakera69.###speakerb70.###speakera71.###speakerb72.###yeah.###speakera73.	how	yes	how a coach *ich*-4 would feel if, that *t*-1 teaches health or eng-, you know, english, or whatever *t*-3 that they had *-2 to wear a tie	...what is a way...	...what is every way...	...what is the way...	
147897:21	but when i think about where i'd want *-1 to go *t*-2 *t*-3, you know, this is still the best	###right.###speakerb64.###* usually involving the prime minister or people very close to him.###speakera65.###yeah.###speakerb66.###so, uh,###speakera67.###yeah,###i still believe 0 i get very fed up with government sometimes	where	yes	where i'd want *-1 to go *t*-2	...what is a place...	...what is every place...	...what is the place...	
159863:68	but, uh, i could see why you went, uh, you know, i could see why you were kind of sheltered *-1 i guess from, from music *t*-2.	###oh, really.###speakerb92.###she always had those, these old doris day records and stuff like that, though.###speakera93.###oh, well.###speakerb94.###so, you know, i grew up *-1 listening to that stuff.###speakera95.###yeah.###speakerb96.	why	no	why you were kind of sheltered *-1 i guess from, from music *t*-2	...what is a reason...	...what is every reason...	...what is the reason...	
10530:16	i asked the vet why he did that *t*-1	###speakerb92.###right,###right.###speakera93.###and he is, uh, you can tell 0 he was weaned *-1 *-2 too young because he'll nurse on your ears and your fingers.###speakerb94.###oh no.###speakera95.###yeah,###he,	why	no	why he did that *t*-1	...what is a reason...	...what is every reason...	...what is the reason...	
47291:36	i don't know, don't know when i'm going *-1 to get a chance *-2 to do that *t*-3	###i mean, it's just beautiful.###the days, get up into the high eighties, uh, maybe the nineties###but it's, it's quite bearable###and then the nights are reasonably warm, you know, sixties or seventies.###it's just great.###it's really very nice.###speakera57.###yeah,###we've talked about *-1 planning a trip up through, um,###i have a sister-in-law that *t*-1 lives in new mexico, up through new mexico and into colorado and the grand canyon area.	when	no	when i'm going *-1 to get a chance *-2 to do that *t*-3	...what is a time...	...what is every time...	...what is the time...	
166750:13	and i say what are you going *-1 to do *t*-2.	###but it doesn't stop many people many people from, uh, from *-1 doing it.###and it's n-, o-, one of the things that it's used *-2 for *t*-1, primarily, is for demographic, uh, research. and * to get th-, your, your phone number on, uh, uh, lists for phone solicitations.###speakera7.###yeah.###yeah.###now th-, that y-, s-, you can still,###yeah,###i've always done that.###i started,###once i found out that that's really not necessary or legal then i just refuse	what	no	what are you going *-1 to do *t*-2	...what is a thing...	...what is every thing...	...what is the thing...	
171717:16	i don't know what a shoe company's doing *t*-1 *-2 running a computer company.	###uh-huh.###yeah,###you're the first, you know, uh,###my next door neighbor just lost his job. in a, you know, one of these, uh,###speakerb40.###oh, my lord.###speakera41.###his company went broke. i mean went, you know, bankrupt.###actually, it was a subsidiary of a, of an outfit called * u s shoe or something.### i-, i-, it was a computer subsidiary.	what	no	what a shoe company's doing *t*-1 *-2 running a computer company	...what is a thing...	...what is every thing...	...what is the thing...	
