TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	AResponse	AllResponse	TheResponse
170922:29	and the money *ich*-3 is also another issue. how you're going *-1 to pay for it *t*-2.	###that, uh,###you can't always get in when you want *-1 too *?* *t*-2###and of course, you can't just sit around and wait.###speakera35.###right.###when you need it *t*-1, you need it i guess 0 *t*-2.###speakerb36.###yeah.###speakera37.###speakerb38.	how	no	What is a way...?	What is every way...?	What is the way...?
16981:19	it's getting, to where a just really want *-1 to read it *t*-2.	###speakerb8.###uh-huh.###speakera9.###speakerb10.###yeah,###it does.###it,###speakera11.###and i, i been praying that god would put a desire * to read the bible in my heart###and he really has *?*.	where	no	What is a place...?	What is every place...?	What is the place...?
104217:52	and, of course, i get *-1 to watch all these movies like * look who *t*-2's talking and who *t*-4's, * look who *t*-3's talking, too	###it j-,,###i guess 0 maybe it would have been better if we'd have been at the theater as opposed to, uh, * just at the house watching it with, with no one else around.###speakera47.###uh-huh.###speakerb48.###speakera49.###uh-huh.###speakerb50.###so,###speakera51.	who	no	Who is a person...?	Who is every person...?	Who is the person...?
57612:54	i, i'm beginning *-1 to wonder is, where do you get gas at *t*-2.	###speakera45.###yeah.###speakerb46.###he was out at tech###and he, he finished it off.###speakera47.### i'm, i guess 0 you're right### the, the diesel has almost fallen into unpopular status.###i don't know exactly why.###one of the reasons is	where	no	What is a place...?	What is every place...?	What is the place...?
8874:58	you know i don't have *-1 to worry about *-2 getting stuff on the carpet except when i track in saw dust *t*-3,	###speakera3.###there's something about * working with wood that, that i enjoy *t*-1, that,###i don't know if it's the saw dust or the mess 0 you make *t*-1 or the smell of the wood###but,###speakerb4.###as you know, i think 0 it's more like the mess 0 you make *t*-1, isn't it *?*?###you don't have *-1 to worry about *-2 cleaning it up.###speakera5.###yeah,###because it's, it's out there.	when	no	What is a time...?	What is every time...?	What is the time...?
61746:16	uh, * remember how they started out *-1 running three, four hundred dollars *t*-2.	###speakera23.###yeah,###well, actually one other thing 0 i might ought *-2 to mention *t*-1 is that they are actually getting quite cheap.###speakerb24.###yes,###definitely,###but just like the computers.###speakera25.###uh-huh.###speakerb26.	how	no	What is a way...?	What is every way...?	What is the way...?
168972:54	wel-, i guess 0 it kind of borders on where, i mean what do you value *t*-1 more. the invasion of, uh, the person's privacy or the possible danger to, you know, other people.	###speakera27.###yeah, tha-, that would be kind of an extreme.###speakerb28.###now, uh, you know if they ever,###speakera29.###i mean i've heard of things like, you know, * making them, you know, marking them somehow or, you know, or something like that or, you know, putting them all someplace like in a kind of,###speakerb30.###so what about that as an invasion of privacy?###speakera31.###yeah.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
163603:69	but, uh, i had an experience *ich*-2 when i was interviewing for a job *t*-1 that, where i had *-4 to, uh, uh, do a drug test *t*-3	###and she had *-1 to get tested *-2###and, i don't know###i'm ambivalent about the whole thing.### i, you know, i have a lot of mixed feelings about###on the one hand, it's like if, you know,### they're, they should be able *-1 to make it as a continue of employment in some sense###and, you know, it's like you're, i mean, employments are contractual by nature anyway###speakera31.###uh-huh.###speakerb32.	where	no	What is a place...?	What is every place...?	What is the place...?
155415:27	we're trying *-1 to think of how * to put away some savings and stuff like that *t*-2	###yeah,###that's sort of a problem.###speakera9.###yeah,###so uh, what do yo-,###speakerb10.### we're trying, we're trying *-1 to, uh,###so far we are in the clear credit wise###but, uh, the other side of it is,###so, not much on that side of it 0 * to add *t*-1 to it.	how	no	What is a way...?	What is every way...?	What is the way...?
73773:35	and, uh, and i can see why children do drop out *t*-1.	###speakera11.###yes.###speakerb12.###and the pressures on the children, uh, you know,###you hear this as an excuse,###but it *exp*-1's true 0 they are so much greater.###speakera13.### unreal, unreal by comparison.###speakerb14.###oh, i can not believe, uh, what they're doing *t*-1, uh, academically the demands on them	why	no	What is a reason...?	What is every reason...?	What is the reason...?
control_a_tissue	Do you want a tissue?	speakera. Your nose is running. speakerb. Oh yeah I didn't notice. speakera. 	none	no	A tissue…?	Every tissue…?	The tissue…?
control_a_napkin	Can I hand you a napkin?	speakera. Oh no! I just spilled my spaghetti down my shirt. speakerb. Oh no.	none	no	A napkin…?	Every napkin…?	The napkin...?
control_the_book	Did you return the book you borrowed?	speakera. Hey. speakerb. Hey what's up? speakera. I noticed a late fee from the library. 	none	no	A book...?	Every book…?	The book...?
control_the_movie	Can you text me the movie schedule?	speakera. What are you doing tonight? speakerb. Nothing what about you? Wanna grab a movie? speakerb. Sure but I don't have wifi right now. 	none	no	A movie schedule...?	Every movie schedule…?	The movie schedule...?
control_all_cookies	Did you grab all the cookies?	speakera. It's time to leave for the potluck.The car's almost packed. speakerb. 	none	no	A cookie...?	Every cookie…?	The cookie...?
control_all_novels	Have you read all her novels?	speakera. I love Octavia Butler she's the best. speakerb. Yeah she's great. speakera.	none	no	An novel...?	Every novel…?	The novel...?
