workerid,proliferate.condition,order,response,slide_number_in_experiment,tgrep_id,error
38,condition1,,"['Mary', 'Mary']",1,bot_check,
38,condition1,a-the-all-some,"['all', False]",3,example1,
38,condition1,a-the-all-some,"['a', False]",4,example2,
38,condition1,a-the-all-some,"['all', False]",5,example1,
38,condition1,a-the-all-some,"['the', False]",6,example4,
38,condition1,a-the-all-some,"['the', False]",8,51293:9,
38,condition1,a-the-all-some,"['the', False]",9,40349:14,
38,condition1,a-the-all-some,"['a', True]",10,60430:4,
38,condition1,a-the-all-some,"['the', True]",11,37508:7,
38,condition1,a-the-all-some,"['the', False]",12,102105:4,
38,condition1,a-the-all-some,"['the', False]",13,118088:9,
38,condition1,a-the-all-some,"['a', True]",14,103191:13,
38,condition1,a-the-all-some,"['the', False]",15,68569:4,
38,condition1,a-the-all-some,"['a', True]",16,130644:22,
38,condition1,a-the-all-some,"['the', False]",17,61578:4,
34,condition1,,"['Patricia', 'Patricia']",1,bot_check,
34,condition1,a-the-some-all,"['all', False]",3,example1,
34,condition1,a-the-some-all,"['a', False]",4,example2,
34,condition1,a-the-some-all,"['all', False]",5,example1,
34,condition1,a-the-some-all,"['the', False]",6,example4,
34,condition1,a-the-some-all,"['a', False]",8,103191:13,
34,condition1,a-the-some-all,"['a', False]",9,130644:22,
34,condition1,a-the-some-all,"['a', False]",10,40349:14,
34,condition1,a-the-some-all,"['the', False]",11,51293:9,
34,condition1,a-the-some-all,"['a', False]",12,68569:4,
34,condition1,a-the-some-all,"['the', False]",13,37508:7,
34,condition1,a-the-some-all,"['a', False]",14,60430:4,
34,condition1,a-the-some-all,"['the', False]",15,102105:4,
34,condition1,a-the-some-all,"['the', False]",16,61578:4,
34,condition1,a-the-some-all,"['the', False]",17,118088:9,
33,condition1,,"['Patricia', 'Patricia']",1,bot_check,
33,condition1,all-the-some-a,"['a', False]",3,example1,
33,condition1,all-the-some-a,"['all', False]",3,example1,
33,condition1,all-the-some-a,"['some', False]",4,example2,
33,condition1,all-the-some-a,"['all', False]",5,example1,
33,condition1,all-the-some-a,"['the', False]",6,example4,
33,condition1,all-the-some-a,"['the', False]",8,68569:4,
33,condition1,all-the-some-a,"['all', True]",9,103191:13,
33,condition1,all-the-some-a,"['all', False]",10,60430:4,
33,condition1,all-the-some-a,"['a', False]",11,61578:4,
33,condition1,all-the-some-a,"['the', False]",12,102105:4,
33,condition1,all-the-some-a,"['the', False]",13,51293:9,
33,condition1,all-the-some-a,"['the', False]",14,118088:9,
33,condition1,all-the-some-a,"['a', False]",15,40349:14,
33,condition1,all-the-some-a,"['some', False]",16,130644:22,
33,condition1,all-the-some-a,"['the', False]",17,37508:7,
17,condition1,,"['Mary', 'Mary']",1,bot_check,
17,condition1,all-some-the-a,"['a', False]",3,example1,
17,condition1,all-some-the-a,"['a', False]",3,example1,
17,condition1,all-some-the-a,"['a', False]",3,example1,
17,condition1,all-some-the-a,"['a', False]",3,example1,
17,condition1,all-some-the-a,"['all', False]",3,example1,
17,condition1,all-some-the-a,"['some', False]",4,example2,
17,condition1,all-some-the-a,"['all', False]",5,example1,
17,condition1,all-some-the-a,"['a', False]",6,example4,
17,condition1,all-some-the-a,"['some', False]",8,68569:4,
17,condition1,all-some-the-a,"['the', False]",9,118088:9,
17,condition1,all-some-the-a,"['the', False]",10,61578:4,
17,condition1,all-some-the-a,"['the', False]",11,103191:13,
17,condition1,all-some-the-a,"['the', False]",12,51293:9,
17,condition1,all-some-the-a,"['some', False]",13,102105:4,
17,condition1,all-some-the-a,"['all', False]",14,130644:22,
17,condition1,all-some-the-a,"['the', False]",15,60430:4,
17,condition1,all-some-the-a,"['some', False]",16,37508:7,
17,condition1,all-some-the-a,"['some', False]",17,40349:14,
12,condition1,,"['Susan', 'Susan']",1,bot_check,
12,condition1,the-some-all-a,"['all', False]",3,example1,
12,condition1,the-some-all-a,"['some', True]",4,example2,
12,condition1,the-some-all-a,"['all', False]",5,example1,
12,condition1,the-some-all-a,"['the', False]",6,example4,
12,condition1,the-some-all-a,"['the', False]",8,102105:4,
12,condition1,the-some-all-a,"['the', False]",9,61578:4,
12,condition1,the-some-all-a,"['a', False]",10,37508:7,
12,condition1,the-some-all-a,"['a', False]",11,40349:14,
12,condition1,the-some-all-a,"['the', False]",12,68569:4,
12,condition1,the-some-all-a,"['the', False]",13,103191:13,
12,condition1,the-some-all-a,"['the', False]",14,51293:9,
12,condition1,the-some-all-a,"['the', False]",15,60430:4,
12,condition1,the-some-all-a,"['the', False]",16,130644:22,
12,condition1,the-some-all-a,"['the', False]",17,118088:9,
7,condition1,,"['Yes it is a nice day out', 'Linda']",1,bot_check,
7,condition1,,"['Linda', 'Linda']",1,bot_check,
7,condition1,some-a-the-all,"['some', False]",3,example1,
7,condition1,some-a-the-all,"['all', False]",3,example1,
7,condition1,some-a-the-all,"['the', False]",4,example2,
7,condition1,some-a-the-all,"['a', False]",4,example2,
7,condition1,some-a-the-all,"['all', False]",5,example1,
7,condition1,some-a-the-all,"['the', False]",6,example4,
7,condition1,some-a-the-all,"['all', False]",8,68569:4,
7,condition1,some-a-the-all,"['some', False]",9,60430:4,
7,condition1,some-a-the-all,"['the', False]",10,51293:9,
7,condition1,some-a-the-all,"['the', False]",11,130644:22,
7,condition1,some-a-the-all,"['a', False]",12,37508:7,
7,condition1,some-a-the-all,"['some', False]",13,118088:9,
7,condition1,some-a-the-all,"['some', False]",14,61578:4,
7,condition1,some-a-the-all,"['some', True]",15,103191:13,
7,condition1,some-a-the-all,"['a', False]",16,40349:14,
7,condition1,some-a-the-all,"['all', False]",17,102105:4,
15,condition1,,"['Barbara', 'Barbara']",1,bot_check,
15,condition1,the-some-a-all,"['a', False]",3,example1,
15,condition1,the-some-a-all,"['a', False]",3,example1,
15,condition1,the-some-a-all,"['some', False]",3,example1,
15,condition1,the-some-a-all,"['some', False]",3,example1,
15,condition1,the-some-a-all,"['the', False]",3,example1,
15,condition1,the-some-a-all,"['all', False]",3,example1,
15,condition1,the-some-a-all,"['some', False]",4,example2,
15,condition1,the-some-a-all,"['all', False]",5,example1,
15,condition1,the-some-a-all,"['the', False]",6,example4,
15,condition1,the-some-a-all,"['the', False]",8,37508:7,
15,condition1,the-some-a-all,"['the', False]",9,51293:9,
15,condition1,the-some-a-all,"['the', False]",10,118088:9,
15,condition1,the-some-a-all,"['a', False]",11,102105:4,
15,condition1,the-some-a-all,"['some', False]",12,68569:4,
15,condition1,the-some-a-all,"['some', False]",13,103191:13,
15,condition1,the-some-a-all,"['the', False]",14,61578:4,
15,condition1,the-some-a-all,"['the', True]",15,40349:14,
15,condition1,the-some-a-all,"['some', False]",16,60430:4,
15,condition1,the-some-a-all,"['a', False]",17,130644:22,
11,condition1,,"['Elizabeth', 'Elizabeth']",1,bot_check,
11,condition1,a-the-all-some,"['the', False]",3,example1,
11,condition1,a-the-all-some,"['all', False]",3,example1,
11,condition1,a-the-all-some,"['a', False]",4,example2,
11,condition1,a-the-all-some,"['some', False]",5,example1,
11,condition1,a-the-all-some,"['all', False]",5,example1,
11,condition1,a-the-all-some,"['the', False]",6,example4,
11,condition1,a-the-all-some,"['the', False]",8,40349:14,
11,condition1,a-the-all-some,"['the', False]",9,68569:4,
11,condition1,a-the-all-some,"['the', False]",10,51293:9,
11,condition1,a-the-all-some,"['all', False]",11,61578:4,
11,condition1,a-the-all-some,"['the', False]",12,37508:7,
11,condition1,a-the-all-some,"['a', False]",13,60430:4,
11,condition1,a-the-all-some,"['the', False]",14,130644:22,
11,condition1,a-the-all-some,"['a', False]",15,118088:9,
11,condition1,a-the-all-some,"['some', True]",16,103191:13,
11,condition1,a-the-all-some,"['a', False]",17,102105:4,
3,condition1,,"['dfg', 'Barbara']",1,bot_check,
3,condition1,,"['barbara', 'Barbara']",1,bot_check,
3,condition1,all-some-a-the,"['all', False]",3,example1,
3,condition1,all-some-a-the,"['a', False]",4,example2,
3,condition1,all-some-a-the,"['all', False]",5,example1,
3,condition1,all-some-a-the,"['a', False]",6,example4,
3,condition1,all-some-a-the,"['some', False]",8,40349:14,
3,condition1,all-some-a-the,"['all', True]",9,37508:7,
3,condition1,all-some-a-the,"['a', False]",10,60430:4,
3,condition1,all-some-a-the,"['all', False]",11,51293:9,
3,condition1,all-some-a-the,"['a', False]",12,68569:4,
3,condition1,all-some-a-the,"['the', False]",13,102105:4,
3,condition1,all-some-a-the,"['the', False]",14,103191:13,
3,condition1,all-some-a-the,"['the', False]",15,61578:4,
3,condition1,all-some-a-the,"['all', False]",16,118088:9,
3,condition1,all-some-a-the,"['some', False]",17,130644:22,
27,condition1,,"['Linda', 'Linda']",1,bot_check,
27,condition1,all-the-some-a,"['all', False]",3,example1,
27,condition1,all-the-some-a,"['a', False]",4,example2,
27,condition1,all-the-some-a,"['all', False]",5,example1,
27,condition1,all-the-some-a,"['the', False]",6,example4,
27,condition1,all-the-some-a,"['a', False]",8,68569:4,
27,condition1,all-the-some-a,"['the', False]",9,37508:7,
27,condition1,all-the-some-a,"['the', False]",10,118088:9,
27,condition1,all-the-some-a,"['the', False]",11,51293:9,
27,condition1,all-the-some-a,"['a', False]",12,130644:22,
27,condition1,all-the-some-a,"['the', False]",13,61578:4,
27,condition1,all-the-some-a,"['all', False]",14,103191:13,
27,condition1,all-the-some-a,"['some', False]",15,60430:4,
27,condition1,all-the-some-a,"['the', False]",16,102105:4,
27,condition1,all-the-some-a,"['the', False]",17,40349:14,
6,condition1,,"['Jessica', 'Jessica']",1,bot_check,
6,condition1,a-the-all-some,"['a', False]",3,example1,
6,condition1,a-the-all-some,"['a', False]",3,example1,
6,condition1,a-the-all-some,"['a', False]",3,example1,
6,condition1,a-the-all-some,"['a', False]",3,example1,
6,condition1,a-the-all-some,"['all', False]",3,example1,
6,condition1,a-the-all-some,"['some', False]",4,example2,
6,condition1,a-the-all-some,"['all', False]",5,example1,
6,condition1,a-the-all-some,"['the', False]",6,example4,
6,condition1,a-the-all-some,"['some', False]",8,40349:14,
6,condition1,a-the-all-some,"['a', False]",9,60430:4,
6,condition1,a-the-all-some,"['the', False]",10,51293:9,
6,condition1,a-the-all-some,"['the', False]",11,61578:4,
6,condition1,a-the-all-some,"['the', False]",12,68569:4,
6,condition1,a-the-all-some,"['some', False]",13,37508:7,
6,condition1,a-the-all-some,"['some', False]",14,103191:13,
6,condition1,a-the-all-some,"['the', False]",15,118088:9,
6,condition1,a-the-all-some,"['some', False]",16,130644:22,
6,condition1,a-the-all-some,"['some', False]",17,102105:4,
9,condition1,,"['Barbara', 'Barbara']",1,bot_check,
9,condition1,a-some-all-the,"['the', False]",3,example1,
9,condition1,a-some-all-the,"['the', False]",3,example1,
9,condition1,a-some-all-the,"['all', False]",3,example1,
9,condition1,a-some-all-the,"['a', False]",4,example2,
9,condition1,a-some-all-the,"['the', False]",5,example1,
9,condition1,a-some-all-the,"['a', False]",5,example1,
9,condition1,a-some-all-the,"['all', False]",5,example1,
9,condition1,a-some-all-the,"['some', False]",6,example4,
9,condition1,a-some-all-the,"['the', True]",8,40349:14,
9,condition1,a-some-all-the,"['all', True]",9,103191:13,
9,condition1,a-some-all-the,"['all', False]",10,102105:4,
9,condition1,a-some-all-the,"['all', False]",11,61578:4,
9,condition1,a-some-all-the,"['all', True]",12,60430:4,
9,condition1,a-some-all-the,"['the', True]",13,37508:7,
9,condition1,a-some-all-the,"['all', False]",14,130644:22,
9,condition1,a-some-all-the,"['a', False]",15,68569:4,
9,condition1,a-some-all-the,"['the', False]",16,51293:9,
9,condition1,a-some-all-the,"['the', False]",17,118088:9,
19,condition1,,"['Mary', 'Mary']",1,bot_check,
19,condition1,all-a-the-some,"['a', False]",3,example1,
19,condition1,all-a-the-some,"['a', False]",3,example1,
19,condition1,all-a-the-some,"['some', False]",3,example1,
19,condition1,all-a-the-some,"['the', False]",3,example1,
19,condition1,all-a-the-some,"['all', False]",3,example1,
19,condition1,all-a-the-some,"['the', False]",4,example2,
19,condition1,all-a-the-some,"['all', False]",4,example2,
19,condition1,all-a-the-some,"['some', False]",4,example2,
19,condition1,all-a-the-some,"['all', False]",5,example1,
19,condition1,all-a-the-some,"['the', False]",6,example4,
19,condition1,all-a-the-some,"['all', False]",8,51293:9,
19,condition1,all-a-the-some,"['all', False]",9,130644:22,
19,condition1,all-a-the-some,"['all', False]",10,60430:4,
19,condition1,all-a-the-some,"['all', False]",11,68569:4,
19,condition1,all-a-the-some,"['the', False]",12,40349:14,
